subject,id,show,direction,order,amount,origin
%库存现金%+%银行存款%+%其他货币资金%+%结算备付金%+%拆出资金%+%交易性金融资产%+%以公允价值计量且其变动计入当期损益的金融资产%+%衍生金融资产%+%应收票据%+%应收账款%-%坏账准备--应收账款%+%应收款项融资%+%预付款项%+%应收股利%+%应收利息%+%应收保费%+%应收分保账款%+%应收分保合同准备金%+%其他应收款%-%坏账准备--其他应收款%+%买入返售金融资产%+%物资采购%+%材料采购%+%在途物资%+%原材料%+%材料成本差异%+%库存商品%+%发出商品%+%自制半成品%+%产成品%+%商品进销差价%+%委托加工物资%+%周转材料%+%委托代销商品%+%受托代销商品%-%代销商品款%+%分期收款发出商品%+%包装物及低值易耗品%+%包装物%+%低值易耗品%+%消耗性物物资产%+%生产成本%+%劳务成本%+%制造费用%+%开发成本%-%存货跌价准备%+%合同资产%+%持有待售资产%+%一年内到期的非流动资产%+%其他流动资产%+%内部往来%+%应收补贴款%+%待处理财产损溢%+%内部存款%+%待摊费用%,62, 流动资产合计,,200,44854593.07000007,
,63, 非流动资产：,,201,0.0,
委托贷款,64, 委托贷款,借,202,0.0,
发放委托贷款及垫款,65, 发放委托贷款及垫款,借,203,0.0,
债权投资,66, 债权投资,借,204,0.0,
可供出售金融资产,67, 可供出售金融资产,借,205,0.0,
可供出售金融资产减值准备,68, 减：可供出售金融资产减值准备,贷,206,0.0,
%可供出售金融资产%-%可供出售金融资产减值准备%,69, 可供出售金融资产净额,,207,0.0,
其他债权投资,70, 其他债权投资,借,208,0.0,
持有至到期投资,71, 持有至到期投资,借,209,0.0,
持有至到期投资减值准备,72, 减：持有至到期投资减值准备,贷,210,0.0,
%持有至到期投资%-%持有至到期投资减值准备%,73, 持有至到期投资净额,,211,0.0,
长期应收款,74, 长期应收款,借,212,0.0,
未确认融资收益,75, 未确认融资收益,贷,213,0.0,
%长期应收款%-%未确认融资收益%,76, 长期应收款净额,,214,0.0,
长期股权投资,77, 长期股权投资,借,215,0.0,
长期股权投资减值准备,78, 减：长期股权投资减值准备,贷,216,0.0,
%长期股权投资%-%长期股权投资减值准备%,79, 长期股权投资净额,,217,0.0,
其他权益工具投资,80, 其他权益工具投资,借,218,0.0,
其他非流动金融资产,81, 其他非流动金融资产,借,219,0.0,
投资性房地产,82, 投资性房地产,借,220,0.0,
固定资产,83, 固定资产,借,221,10163806.01,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1601"", ""subject_name"": ""固定资产""}, ""value_type"": ""terminal_amount""}}]"
累计折旧,84, 减：累计折旧,贷,222,5478362.739999999,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1602"", ""subject_name"": ""累计折旧""}, ""value_type"": ""terminal_amount""}}]"
固定资产减值准备,85, 固定资产减值准备,贷,223,0.0,
%固定资产%-%累计折旧%-%固定资产减值准备%,86, 固定资产净额,,224,4685443.2700000005,
固定资产清理,87, 固定资产清理,借,225,0.0,
在建工程,88, 在建工程,借,226,61699.72000000009,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1604"", ""subject_name"": ""在建工程""}, ""value_type"": ""terminal_amount""}}]"
在建工程减值准备,89, 减：在建工程减值准备,贷,227,0.0,
%在建工程%-%在建工程减值准备%,90, 在建工程净额,,228,61699.72000000009,
生产性生物资产,91, 生产性生物资产,借,229,0.0,
油气资产,92, 油气资产,借,230,0.0,
使用权资产,93, 使用权资产,借,231,0.0,
无形资产,94, 无形资产,借,232,523922.69,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1701"", ""subject_name"": ""无形资产""}, ""value_type"": ""terminal_amount""}}]"
累计摊销,95, 减：累计摊销,贷,233,73703.23999999999,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""1702"", ""subject_name"": ""累计摊销""}, ""value_type"": ""terminal_amount""}}]"
无形资产减值准备,96, 无形资产减值准备,贷,234,0.0,
%无形资产%-%累计摊销%-%无形资产减值准备%,97, 无形资产净额,,235,450219.45,
工程物资,98, 工程物资,借,236,0.0,
开发支出,99, 开发支出,借,237,0.0,
商誉,100, 商誉,借,238,0.0,
商誉减值准备,101, 减：商誉减值准备,贷,239,0.0,
%商誉%-%商誉减值准备%,102, 商誉净值,,240,0.0,
长期待摊费用,103, 长期待摊费用,借,241,0.0,
递延所得税资产,104, 递延所得税资产,借,242,0.0,
其他非流动资产,105, 其他非流动资产,借,243,0.0,
%发放委托贷款及垫款%+%债权投资%+%可供出售金融资产%-%可供出售金融资产减值准备%+%其他债权投资%+%持有至到期投资%-%持有至到期投资减值准备%+%长期应收款%+%长期股权投资%-%长期股权投资减值准备%+%其他权益工具投资%+%其他非流动金融资产%+%投资性房地产%+%固定资产%-%累计折旧%-%固定资产减值准备%+%在建工程%-%在建工程减值准备%+%生产性生物资产%+%油气资产%+%使用权资产%+%无形资产%-%累计摊销%-%无形资产减值准备%+%开发支出%+%商誉%-%商誉减值准备%+%长期待摊费用%+%递延所得税资产%+%其他非流动资产%-%未确认融资收益%+%工程物资%,106, 非流动资产合计,,300,5197362.44,
